"Plot1"
"Time (sec)","Motor Torque1 (newton-meter)","Angular Displacement1 (deg)"
0,0.256509004891804,55.8972651302657
0.04,0.258810833545719,55.0972651302656
0.08,0.261038590220178,54.2972651302657
0.12,0.263196481341714,53.4972651302657
0.16,0.26528387616198,52.6972651302658
0.2,0.267301343012797,51.8972651302658
0.24,0.269249443557688,51.0972651302659
0.28,0.271128734320272,50.2972651302659
0.32,0.272939768144409,49.497265130266
0.36,0.274683095574297,48.697265130266
0.4,0.276359266118812,47.8972651302661
0.44,0.277968829478012,47.0972651302661
0.48,0.279512336660062,46.2972651302662
0.52,0.280990341049633,45.4972651302663
0.56,0.282403399375115,44.6972651302663
0.6,0.283752072634415,43.8972651302658
0.64,0.285036926929049,43.0972651302656
0.68,0.286258534234072,42.2972651302657
0.72,0.287417473102541,41.4972651302657
0.76,0.288514329276066,40.6972651302652
0.8,0.28954969627215,39.8972651302657
0.84,0.290524175847741,39.0972651302658
0.88,0.29143837840753,38.2972651302661
0.92,0.292292923344804,37.4972651302661
0.96,0.293088439314888,36.6972651302657
1,0.293825564385344,35.8972651302657
1.04,0.294504946171501,35.0972651302662
1.08,0.295127241828952,34.2972651302657
1.12,0.295693117993386,33.4972651302657
1.16,0.296203250655841,32.6972651302662
1.2,0.296658324888259,31.8972651302657
1.24,0.297059034541039,31.0972651302657
1.28,0.297406081839873,30.2972651302662
1.32,0.297700176852449,29.4972651302657
1.36,0.297942036894599,28.6972651302657
1.4,0.298132385916109,27.8972651302663
1.44,0.298271953609168,27.0972651302657
1.48,0.298361474551431,26.2972651302657
1.52,0.298401687467946,25.4972651302656
1.56,0.298393333864239,24.6972651302657
1.6,0.29833715706656,23.8972651302657
1.64,0.298233901154421,23.0972651302652
1.68,0.298084309411399,22.2972651302657
1.72,0.29788912310736,21.4972651302657
1.76,0.297649080236965,20.6972651302652
1.8,0.297364913783334,19.8972651302657
1.84,0.297037350328686,19.0972651302658
1.88,0.296667108664023,18.297265130266
1.92,0.296254897892567,17.4972651302658
1.96,0.295801416082052,16.6972651302662
2,0.29530734854462,15.8972651302657
2.04,0.294773366248332,15.0972651302658
2.08,0.294200124246723,14.2972651302661
2.12,0.293588260060907,13.4972651302658
2.16,0.292938392271088,12.6972651302658
2.2,0.292251118793127,11.8972651302661
2.24,0.29152701576124,11.0972651302658
2.28,0.290766636053722,10.2972651302657
2.32,0.289970507881418,9.49726513026608
2.36,0.289139133925065,8.69726513026577
2.4,0.288272990138183,7.89726513026577
2.44,0.287372524654905,7.0972651302661
2.48,0.286438157308405,6.29726513026577
2.52,0.285470278691296,5.49726513026577
2.56,0.284469249616834,4.69726513026615
2.6,0.283435400937365,3.89726513026577
2.64,0.282369033019107,3.09726513026577
2.68,0.281270415684208,2.2972651302661
2.72,0.280139788423646,1.49726513026576
2.76,0.278977360335312,0.697265130265763
2.8,0.277783310462508,-0.10273486973387
2.84,0.276557788444064,-0.902734869734253
2.88,0.275300914866648,-1.70273486973425
2.92,0.274012781972202,-2.50273486973426
2.96,0.272693454680701,-3.30273486973466
3,0.271342971373575,-4.10273486973423
3.04,0.269961344718612,-4.90273486973426
3.08,0.268548563242675,-5.70273486973454
3.12,0.267104592192275,-6.50273486973421
3.16,0.265629374671959,-7.30273486973424
3.2,0.264122833385877,-8.10273486973452
3.24,0.262584871678938,-8.90273486973424
3.28,0.261015374801101,-9.70273486973426
